Condition,CodeType,DxCode,DxCodeLocation
STRKETIA,ICD10DX,S06.2X5B,ANY
STRKETIA,ICD10DX,S06.2X6B,ANY
STRKETIA,ICD10DX,S06.2X7B,ANY
STRKETIA,ICD10DX,S06.2X8B,ANY
STRKETIA,ICD10DX,S06.2X9B,ANY
STRKETIA,ICD10DX,S06.300A,ANY
STRKETIA,ICD10DX,S06.301A,ANY
STRKETIA,ICD10DX,S06.302A,ANY
STRKETIA,ICD10DX,S06.303A,ANY
STRKETIA,ICD10DX,S06.304A,ANY
STRKETIA,ICD10DX,S06.305A,ANY
STRKETIA,ICD10DX,S06.306A,ANY
STRKETIA,ICD10DX,S06.307A,ANY
STRKETIA,ICD10DX,S06.308A,ANY
STRKETIA,ICD10DX,S06.309A,ANY
STRKETIA,ICD10DX,S06.310A,ANY
STRKETIA,ICD10DX,S06.311A,ANY
STRKETIA,ICD10DX,S06.312A,ANY
STRKETIA,ICD10DX,S06.313A,ANY
STRKETIA,ICD10DX,S06.314A,ANY
STRKETIA,ICD10DX,S06.315A,ANY
STRKETIA,ICD10DX,S06.316A,ANY
STRKETIA,ICD10DX,S06.317A,ANY
STRKETIA,ICD10DX,S06.318A,ANY
STRKETIA,ICD10DX,S06.319A,ANY
STRKETIA,ICD10DX,S06.320A,ANY
STRKETIA,ICD10DX,S06.321A,ANY
STRKETIA,ICD10DX,S06.322A,ANY
STRKETIA,ICD10DX,S06.323A,ANY
STRKETIA,ICD10DX,S06.324A,ANY
STRKETIA,ICD10DX,S06.325A,ANY
STRKETIA,ICD10DX,S06.326A,ANY
STRKETIA,ICD10DX,S06.327A,ANY
STRKETIA,ICD10DX,S06.328A,ANY
STRKETIA,ICD10DX,S06.329A,ANY
STRKETIA,ICD10DX,S06.330A,ANY
STRKETIA,ICD10DX,S06.331A,ANY
STRKETIA,ICD10DX,S06.332A,ANY
STRKETIA,ICD10DX,S06.333A,ANY
STRKETIA,ICD10DX,S06.334A,ANY
STRKETIA,ICD10DX,S06.335A,ANY
STRKETIA,ICD10DX,S06.336A,ANY
STRKETIA,ICD10DX,S06.337A,ANY
STRKETIA,ICD10DX,S06.338A,ANY
STRKETIA,ICD10DX,S06.339A,ANY
STRKETIA,ICD10DX,S06.340A,ANY
STRKETIA,ICD10DX,S06.341A,ANY
STRKETIA,ICD10DX,S06.342A,ANY
STRKETIA,ICD10DX,S06.343A,ANY
STRKETIA,ICD10DX,S06.344A,ANY
STRKETIA,ICD10DX,S06.345A,ANY
STRKETIA,ICD10DX,S06.346A,ANY
STRKETIA,ICD10DX,S06.347A,ANY
STRKETIA,ICD10DX,S06.348A,ANY
STRKETIA,ICD10DX,S06.349A,ANY
STRKETIA,ICD10DX,S06.350A,ANY
STRKETIA,ICD10DX,S06.351A,ANY
STRKETIA,ICD10DX,S06.352A,ANY
STRKETIA,ICD10DX,S06.353A,ANY
STRKETIA,ICD10DX,S06.354A,ANY
STRKETIA,ICD10DX,S06.355A,ANY
STRKETIA,ICD10DX,S06.356A,ANY
STRKETIA,ICD10DX,S06.357A,ANY
STRKETIA,ICD10DX,S06.358A,ANY
STRKETIA,ICD10DX,S06.359A,ANY
STRKETIA,ICD10DX,S06.360A,ANY
STRKETIA,ICD10DX,S06.361A,ANY
STRKETIA,ICD10DX,S06.362A,ANY
STRKETIA,ICD10DX,S06.363A,ANY
STRKETIA,ICD10DX,S06.364A,ANY
STRKETIA,ICD10DX,S06.365A,ANY
STRKETIA,ICD10DX,S06.366A,ANY
STRKETIA,ICD10DX,S06.367A,ANY
STRKETIA,ICD10DX,S06.368A,ANY
STRKETIA,ICD10DX,S06.369A,ANY
STRKETIA,ICD10DX,S06.370A,ANY
STRKETIA,ICD10DX,S06.371A,ANY
STRKETIA,ICD10DX,S06.372A,ANY
STRKETIA,ICD10DX,S06.373A,ANY
STRKETIA,ICD10DX,S06.374A,ANY
STRKETIA,ICD10DX,S06.375A,ANY
STRKETIA,ICD10DX,S06.376A,ANY
STRKETIA,ICD10DX,S06.377A,ANY
STRKETIA,ICD10DX,S06.378A,ANY
STRKETIA,ICD10DX,S06.379A,ANY
STRKETIA,ICD10DX,S06.380A,ANY
STRKETIA,ICD10DX,S06.381A,ANY
STRKETIA,ICD10DX,S06.382A,ANY
STRKETIA,ICD10DX,S06.383A,ANY
STRKETIA,ICD10DX,S06.384A,ANY
STRKETIA,ICD10DX,S06.385A,ANY
STRKETIA,ICD10DX,S06.386A,ANY
STRKETIA,ICD10DX,S06.387A,ANY
STRKETIA,ICD10DX,S06.388A,ANY
STRKETIA,ICD10DX,S06.389A,ANY
STRKETIA,ICD10DX,S06.4X1A,ANY
STRKETIA,ICD10DX,S06.4X2A,ANY
STRKETIA,ICD10DX,S06.4X3A,ANY
STRKETIA,ICD10DX,S06.4X4A,ANY
STRKETIA,ICD10DX,S06.4X5A,ANY
STRKETIA,ICD10DX,S06.4X6A,ANY
STRKETIA,ICD10DX,S06.4X7A,ANY
STRKETIA,ICD10DX,S06.4X8A,ANY
STRKETIA,ICD10DX,S06.4X9A,ANY
STRKETIA,ICD10DX,S06.5X0A,ANY
STRKETIA,ICD10DX,S06.5X1A,ANY
STRKETIA,ICD10DX,S06.5X2A,ANY
STRKETIA,ICD10DX,S06.5X3A,ANY
STRKETIA,ICD10DX,S06.5X4A,ANY
STRKETIA,ICD10DX,S06.5X5A,ANY
STRKETIA,ICD10DX,S06.5X6A,ANY
STRKETIA,ICD10DX,S06.5X7A,ANY
STRKETIA,ICD10DX,S06.5X8A,ANY
STRKETIA,ICD10DX,S06.5X9A,ANY
STRKETIA,ICD10DX,S06.6X0A,ANY
STRKETIA,ICD10DX,S06.6X1A,ANY
STRKETIA,ICD10DX,S06.6X2A,ANY
STRKETIA,ICD10DX,S06.6X3A,ANY
STRKETIA,ICD10DX,S06.6X4A,ANY
STRKETIA,ICD10DX,S06.6X5A,ANY
STRKETIA,ICD10DX,S06.6X6A,ANY
STRKETIA,ICD10DX,S06.6X7A,ANY
STRKETIA,ICD10DX,S06.6X8A,ANY
STRKETIA,ICD10DX,S06.6X9A,ANY
STRKETIA,ICD10DX,S06.810A,ANY
STRKETIA,ICD10DX,S06.811A,ANY
STRKETIA,ICD10DX,S06.812A,ANY
STRKETIA,ICD10DX,S06.813A,ANY
STRKETIA,ICD10DX,S06.814A,ANY
STRKETIA,ICD10DX,S06.815A,ANY
STRKETIA,ICD10DX,S06.816A,ANY
STRKETIA,ICD10DX,S06.817A,ANY
STRKETIA,ICD10DX,S06.818A,ANY
STRKETIA,ICD10DX,S06.819A,ANY
STRKETIA,ICD10DX,S06.820A,ANY
STRKETIA,ICD10DX,S06.821A,ANY
STRKETIA,ICD10DX,S06.822A,ANY
STRKETIA,ICD10DX,S06.823A,ANY
STRKETIA,ICD10DX,S06.824A,ANY
STRKETIA,ICD10DX,S06.825A,ANY
STRKETIA,ICD10DX,S06.826A,ANY
STRKETIA,ICD10DX,S06.827A,ANY
STRKETIA,ICD10DX,S06.828A,ANY
STRKETIA,ICD10DX,S06.829A,ANY
STRKETIA,ICD10DX,S06.890A,ANY
STRKETIA,ICD10DX,S06.891A,ANY
STRKETIA,ICD10DX,S06.892A,ANY
STRKETIA,ICD10DX,S06.893A,ANY
STRKETIA,ICD10DX,S06.894A,ANY
STRKETIA,ICD10DX,S06.895A,ANY
STRKETIA,ICD10DX,S06.896A,ANY
STRKETIA,ICD10DX,S06.897A,ANY
STRKETIA,ICD10DX,S06.898A,ANY
STRKETIA,ICD10DX,S06.899A,ANY
STRKETIA,ICD10DX,S06.9X0A,ANY
STRKETIA,ICD10DX,S06.9X1A,ANY
STRKETIA,ICD10DX,S06.9X2A,ANY
STRKETIA,ICD10DX,S06.9X3A,ANY
STRKETIA,ICD10DX,S06.9X4A,ANY
STRKETIA,ICD10DX,S06.9X5A,ANY
STRKETIA,ICD10DX,S06.9X6A,ANY
STRKETIA,ICD10DX,S06.9X7A,ANY
STRKETIA,ICD10DX,S06.9X8A,ANY
STRKETIA,ICD10DX,S06.9X9A,ANY
STRKETIA,ICD10DX,S06.A0XA,ANY
STRKETIA,ICD10DX,S06.A1XA,ANY
